geneid,entrezid,genesymbol,mouseortholog,genedescription,uniprotid,mitopathway,mitocartascore,targetpscore,hg19chr,inmitocarta,subcellularlocation,Loc
96565,670,BPHL,68021.0,biphenyl hydrolase like,Q86WA6,Metabolism > Detoxification > Xenobiotic metabolism,20.4068,1.0,chr6,True,Mitochondrion,NUC
96488,51023,MRPS18C,68735.0,mitochondrial ribosomal protein S18C,Q9Y3D5,Mitochondrial central dogma > Translation > Mitochondrial ribosome,23.3634,4.0,chr4,True,Mitochondrion,NUC
96489,92935,MARS2,212679.0,"methionyl-tRNA synthetase 2, mitochondrial",Q96GW9,Mitochondrial central dogma > Translation > mt-tRNA synthetases,23.2841,2.0,chr2,True,Mitochondrion matrix,NUC
96490,4329,ALDH6A1,104776.0,aldehyde dehydrogenase 6 family member A1,Q02252,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,23.2735,2.0,chr14,True,Mitochondrion,NUC
96491,2232,FDXR,14149.0,ferredoxin reductase,P22570,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Vitamin metabolism > Vitamin D metabolism",23.1029,1.0,chr17,True,Mitochondrion,NUC
96492,283459,GATC,384281.0,glutamyl-tRNA amidotransferase subunit C,O43716,Mitochondrial central dogma > Translation > mt-tRNA synthetases,23.092,2.0,chr12,True,Mitochondrion,NUC
96493,10131,TRAP1,68015.0,TNF receptor associated protein 1,Q12931,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones",23.0794,1.0,chr16,True,Mitochondrion,NUC
96494,27034,ACAD8,66948.0,acyl-CoA dehydrogenase family member 8,Q9UKU7,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,22.9279,1.0,chr11,True,Mitochondrion,NUC
96495,217,ALDH2,11669.0,aldehyde dehydrogenase 2 family member,P05091,Metabolism > Detoxification > Xenobiotic metabolism,22.8635,1.0,chr12,True,Mitochondrion matrix,NUC
96496,10105,PPIF,105675.0,peptidylprolyl isomerase F,P30405,Signaling > Calcium homeostasis > Mitochondrial permeability transition pore,22.852,1.0,chr10,True,Mitochondrion matrix,NUC
96497,29928,TIMM22,56322.0,translocase of inner mitochondrial membrane 22,Q9Y584,"Protein import, sorting and homeostasis > Protein import and sorting > TIM22 carrier pathway",22.8174,,chr17,True,Mitochondrion inner membrane,MIM
96498,3712,IVD,56357.0,isovaleryl-CoA dehydrogenase,P26440,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,22.807,2.0,chr15,True,Mitochondrion matrix,NUC
96499,79944,L2HGDH,217666.0,L-2-hydroxyglutarate dehydrogenase,Q9H9P8,Metabolism > Carbohydrate metabolism > TCA-associated,22.7952,1.0,chr14,True,Mitochondrion,NUC
96500,23474,ETHE1,66071.0,ETHE1 persulfide dioxygenase,O95571,Metabolism > Sulfur metabolism,22.7142,2.0,chr19,True,Cytoplasm,NUC
96501,55052,MRPL20,66448.0,mitochondrial ribosomal protein L20,Q9BYC9,Mitochondrial central dogma > Translation > Mitochondrial ribosome,22.6882,1.0,chr1,True,Mitochondrion,NUC
96502,292,SLC25A5,11740.0,solute carrier family 25 member 5,P05141,Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Small molecule transport > SLC25A family,22.6723,,chrX,True,Mitochondrion inner membrane,MIM
96503,8604,SLC25A12,78830.0,solute carrier family 25 member 12,O75746,Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Amino acid metabolism > Glutamate metabolism | Signaling > Calcium homeostasis > EF hand proteins | Small molecule transport > SLC25A family,22.6723,,chr2,True,Mitochondrion inner membrane,MIM
96504,54460,MRPS21,66292.0,mitochondrial ribosomal protein S21,P82921,Mitochondrial central dogma > Translation > Mitochondrial ribosome,22.6171,,chr1,True,Mitochondrion,NUC
96505,56993,TOMM22,223696.0,translocase of outer mitochondrial membrane 22,Q9NS69,"Protein import, sorting and homeostasis > Protein import and sorting > TOM",22.5656,,chr22,True,Mitochondrion outer membrane,NUC
96506,10449,ACAA2,52538.0,acetyl-CoA acyltransferase 2,P42765,Metabolism > Carbohydrate metabolism > Ketone metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Lysine metabolism,22.5372,3.0,chr18,True,Mitochondrion,NUC
96507,51263,MRPL30,107734.0,mitochondrial ribosomal protein L30,Q8TCC3,Mitochondrial central dogma > Translation > Mitochondrial ribosome,22.4329,4.0,chr2,True,Mitochondrion,NUC
96508,9093,DNAJA3,83945.0,DnaJ heat shock protein family (Hsp40) member A3,Q96EY1,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones",22.3735,3.0,chr16,True,Mitochondrion matrix,NUC
96509,4708,NDUFB2,68198.0,NADH:ubiquinone oxidoreductase subunit B2,O95178,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,22.2978,2.0,chr7,True,Mitochondrion inner membrane,MIM
96510,65993,MRPS34,79044.0,mitochondrial ribosomal protein S34,P82930,Mitochondrial central dogma > Translation > Mitochondrial ribosome,22.2978,2.0,chr16,True,Mitochondrion,NUC
96511,2109,ETFB,110826.0,electron transfer flavoprotein subunit beta,P38117,"Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other",22.2803,5.0,chr19,True,Mitochondrion matrix,NUC
96512,246269,AFG1L,215951.0,AFG1 like ATPase,Q8WV93,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",22.1425,4.0,chr6,True,Mitochondrion membrane,NUC
96513,93974,ATP5IF1,11983.0,ATP synthase inhibitory factor subunit 1,Q9UII2,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,22.1189,3.0,chr1,True,Mitochondrion,NUC
96514,515,ATP5PB,11950.0,ATP synthase peripheral stalk-membrane subunit b,P24539,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,22.1144,4.0,chr1,True,Mitochondrion,NUC
96515,1350,COX7C,12867.0,cytochrome c oxidase subunit 7C,P15954,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,22.1144,4.0,chr5,True,Mitochondrion inner membrane,MIM
96516,54927,CHCHD3,66075.0,coiled-coil-helix-coiled-coil-helix domain containing 3,Q9NX63,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions,22.0697,,chr7,True,Mitochondrion inner membrane,MIM
96517,80219,COQ10B,67876.0,coenzyme Q10B,Q9H8M1,Metabolism > Metals and cofactors > Coenzyme Q metabolism,22.0284,2.0,chr2,True,Mitochondrion inner membrane,MIM
96518,197322,ACSF3,257633.0,acyl-CoA synthetase family member 3,Q4G176,Metabolism > Lipid metabolism > Type II fatty acid synthesis,22.0114,1.0,chr16,True,Mitochondrion,NUC
96519,26073,POLDIP2,67811.0,DNA polymerase delta interacting protein 2,Q9Y2S7,Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid,22.0081,1.0,chr17,True,Mitochondrion matrix,NUC
96520,1468,SLC25A10,27376.0,solute carrier family 25 member 10,Q9UBX3,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Small molecule transport > SLC25A family,21.9806,,chr17,True,Mitochondrion inner membrane,MIM
96521,10165,SLC25A13,50799.0,solute carrier family 25 member 13,Q9UJS0,Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Amino acid metabolism > Urea cycle | Signaling > Calcium homeostasis > EF hand proteins | Small molecule transport > SLC25A family,21.9806,,chr7,True,Mitochondrion inner membrane,MIM
96522,5165,PDK3,236900.0,pyruvate dehydrogenase kinase 3,Q15120,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,21.9161,2.0,chrX,True,Mitochondrion matrix,NUC
96523,10873,ME3,109264.0,malic enzyme 3,Q16798,Metabolism > Carbohydrate metabolism > TCA-associated,21.8086,5.0,chr11,True,Mitochondrion matrix,NUC
96566,30968,STOML2,66592.0,stomatin like 2,Q9UJZ1,"Protein import, sorting and homeostasis > Protein homeostasis",20.4068,1.0,chr9,True,Cell membrane,NUC
96524,29093,MRPL22,216767.0,mitochondrial ribosomal protein L22,Q9NWU5,Mitochondrial central dogma > Translation > Mitochondrial ribosome,21.7952,2.0,chr5,True,Mitochondrion,NUC
96525,3418,IDH2,269951.0,isocitrate dehydrogenase (NADP(+)) 2,P48735,Metabolism > Carbohydrate metabolism > TCA cycle,21.7892,1.0,chr15,True,Mitochondrion,NUC
96526,2639,GCDH,270076.0,glutaryl-CoA dehydrogenase,Q92947,Metabolism > Amino acid metabolism > Lysine metabolism,21.6769,1.0,chr19,True,Mitochondrion matrix,NUC
96527,57129,MRPL47,74600.0,mitochondrial ribosomal protein L47,Q9HD33,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome,21.6672,1.0,chr3,True,Mitochondrion,NUC
96528,27068,PPA2,74776.0,inorganic pyrophosphatase 2,Q9H2U2,Mitochondrial central dogma > mtDNA maintenance | Mitochondrial central dogma > mtRNA metabolism | Mitochondrial central dogma > Translation | Metabolism > Nucleotide metabolism,21.6578,1.0,chr4,True,Mitochondrion,NUC
96529,65005,MRPL9,78523.0,mitochondrial ribosomal protein L9,Q9BYD2,Mitochondrial central dogma > Translation > Mitochondrial ribosome,21.6235,2.0,chr1,True,Mitochondrion,NUC
96530,400916,CHCHD10,103172.0,coiled-coil-helix-coiled-coil-helix domain containing 10,Q8WYQ3,0,21.6206,2.0,chr22,True,Mitochondrion intermembrane space,NUC
96531,10352,WARS2,70560.0,"tryptophanyl tRNA synthetase 2, mitochondrial",Q9UGM6,Mitochondrial central dogma > Translation > mt-tRNA synthetases,21.6195,2.0,chr1,True,Mitochondrion matrix,NUC
96532,60386,SLC25A19,67283.0,solute carrier family 25 member 19,Q9HC21,Metabolism > Vitamin metabolism > Vitamin B1 metabolism | Small molecule transport > SLC25A family,21.6162,,chr17,True,Mitochondrion membrane,NUC
96533,84869,CBR4,234309.0,carbonyl reductase 4,Q8N4T8,Metabolism > Lipid metabolism > Type II fatty acid synthesis,21.6019,4.0,chr4,True,Mitochondrion matrix,NUC
96534,91689,SMDT1,69029.0,single-pass membrane protein with aspartate rich tail 1,Q9H4I9,Signaling > Calcium homeostasis > Calcium cycle | Small molecule transport > Calcium uniporter,21.5638,2.0,chr22,True,Mitochondrion inner membrane,MIM
96535,3029,HAGH,14651.0,hydroxyacylglutathione hydrolase,Q16775,Metabolism > Detoxification > ROS and glutathione metabolism,21.5442,1.0,chr16,True,Mitochondrion matrix,NUC
96536,1346,COX7A1,12865.0,cytochrome c oxidase subunit 7A1,P24310,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,21.5213,2.0,chr19,True,Mitochondrion inner membrane,MIM
96537,92170,MTG1,212508.0,mitochondrial ribosome associated GTPase 1,Q9BT17,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly,21.5122,3.0,chr10,True,Mitochondrion inner membrane,MIM
96538,84987,COX14,66379.0,cytochrome c oxidase assembly factor COX14,Q96I36,Mitochondrial central dogma > Translation > Translation factors | OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,21.5055,,chr12,True,Mitochondrion outer membrane,NUC
96539,55967,NDUFA12,66414.0,NADH:ubiquinone oxidoreductase subunit A12,Q9UI09,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,21.467,5.0,chr12,True,Mitochondrion inner membrane,MIM
96540,51021,MRPS16,66242.0,mitochondrial ribosomal protein S16,Q9Y3D3,Mitochondrial central dogma > Translation > Mitochondrial ribosome,21.4649,2.0,chr10,True,Mitochondrion,NUC
96541,80298,MTERF2,74238.0,mitochondrial transcription termination factor 2,Q49AM1,Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid,21.4143,1.0,chr12,True,Mitochondrion,NUC
96542,144363,ETFRF1,67636.0,electron transfer flavoprotein regulatory factor 1,Q6IPR1,"Metabolism > Electron carriers > Q-linked reactions, other",21.348,,chr12,True,Mitochondrion,NUC
96543,2820,GPD2,14571.0,glycerol-3-phosphate dehydrogenase 2,P43304,"Metabolism > Carbohydrate metabolism > Glycerol phosphate shuttle | Metabolism > Electron carriers > Q-linked reactions, other",21.2901,4.0,chr2,True,Mitochondrion,NUC
96544,4705,NDUFA10,67273.0,NADH:ubiquinone oxidoreductase subunit A10,O95299,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,21.261,2.0,chr2,True,Mitochondrion matrix,NUC
96545,4718,NDUFC2,68197.0,NADH:ubiquinone oxidoreductase subunit C2,O95298,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,21.219,,chr11,True,Mitochondrion inner membrane,MIM
96546,81892,SLIRP,380773.0,SRA stem-loop interacting RNA binding protein,Q9GZT3,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay | Mitochondrial central dogma > Translation,21.211,1.0,chr14,True,Mitochondrion,NUC
96547,4508,MT-ATP6,17705.0,ATP synthase F0 subunit 6,P00846,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,21.1221,,chrM,True,Mitochondrion inner membrane,MIM
96548,4513,MT-CO2,17709.0,cytochrome c oxidase subunit II,P00403,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,21.1221,,chrM,True,Mitochondrion inner membrane,MIM
96549,29090,TIMM21,67105.0,translocase of inner mitochondrial membrane 21,Q9BVV7,"Mitochondrial central dogma > Translation > Translation factors | Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway | OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors",21.0878,5.0,chr18,True,Mitochondrion membrane,NUC
96550,4702,NDUFA8,68375.0,NADH:ubiquinone oxidoreductase subunit A8,P51970,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,21.0863,,chr9,True,Mitochondrion inner membrane,MIM
96551,2744,GLS,14660.0,glutaminase,O94925,Metabolism > Amino acid metabolism > Glutamate metabolism,20.9853,1.0,chr2,True,Mitochondrion,NUC
96552,54539,NDUFB11,104130.0,NADH:ubiquinone oxidoreductase subunit B11,Q9NX14,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,20.8256,1.0,chrX,True,Mitochondrion inner membrane,MIM
96553,55526,DHTKD1,209692.0,dehydrogenase E1 and transketolase domain containing 1,Q96HY7,Metabolism > Amino acid metabolism > Lysine metabolism,20.7995,2.0,chr10,True,Mitochondrion,NUC
96554,51011,FAHD2A,68126.0,fumarylacetoacetate hydrolase domain containing 2A,Q96GK7,0,20.747,2.0,chr2,True,Mitochondrion,NUC
96555,7923,HSD17B8,14979.0,hydroxysteroid 17-beta dehydrogenase 8,Q92506,"Metabolism > Lipid metabolism > Type II fatty acid synthesis | Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis",20.727,1.0,chr6,True,Mitochondrion matrix,NUC
96556,84681,HINT2,68917.0,histidine triad nucleotide binding protein 2,Q9BX68,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis",20.727,1.0,chr9,True,Mitochondrion,NUC
96557,64969,MRPS5,77721.0,mitochondrial ribosomal protein S5,P82675,Mitochondrial central dogma > Translation > Mitochondrial ribosome,20.6794,,chr2,True,Mitochondrion,NUC
96558,221545,C6orf136,69662.0,chromosome 6 open reading frame 136,Q5SQH8,0,20.67,2.0,chr6,True,,NUC
96559,283377,SPRYD4,66701.0,SPRY domain containing 4,Q8WW59,0,20.623,1.0,chr12,True,,NUC
96560,387787,LIPT2,67164.0,lipoyl(octanoyl) transferase 2,A6NK58,Metabolism > Lipid metabolism > Lipoate insertion,20.6189,2.0,chr11,True,Mitochondrion,NUC
96561,1666,DECR1,67460.0,"2,4-dienoyl-CoA reductase 1",Q16698,Metabolism > Lipid metabolism > Fatty acid oxidation,20.6061,2.0,chr8,True,Mitochondrion,NUC
96562,64949,MRPS26,99045.0,mitochondrial ribosomal protein S26,Q9BYN8,Mitochondrial central dogma > Translation > Mitochondrial ribosome,20.5582,2.0,chr20,True,Mitochondrion,NUC
96563,10166,SLC25A15,18408.0,solute carrier family 25 member 15,Q9Y619,Metabolism > Amino acid metabolism > Urea cycle | Small molecule transport > SLC25A family,20.4855,,chr13,True,Mitochondrion inner membrane,MIM
96564,4731,NDUFV3,78330.0,NADH:ubiquinone oxidoreductase subunit V3,P56181,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,20.4205,3.0,chr21,True,Mitochondrion inner membrane,MIM
96567,22921,MSRB2,76467.0,methionine sulfoxide reductase B2,Q9Y3D2,Metabolism > Detoxification > ROS and glutathione metabolism | Metabolism > Sulfur metabolism,20.2816,2.0,chr10,True,Mitochondrion,NUC
96568,114294,LACTB,80907.0,lactamase beta,P83111,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases | Metabolism > Lipid metabolism > Phospholipid metabolism",20.2415,1.0,chr15,True,Mitochondrion,NUC
96569,10452,TOMM40,53333.0,translocase of outer mitochondrial membrane 40,O96008,"Protein import, sorting and homeostasis > Protein import and sorting > TOM",20.2397,,chr19,True,Mitochondrion outer membrane,NUC
96570,114789,SLC25A25,227731.0,solute carrier family 25 member 25,Q6KCM7,Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > EF hand proteins | Small molecule transport > SLC25A family,20.2397,,chr9,True,Mitochondrion inner membrane,MIM
96571,203054,ADCK5,268822.0,aarF domain containing kinase 5,Q3MIX3,0,20.2277,2.0,chr8,True,Membrane,NUC
96572,80724,ACAD10,71985.0,acyl-CoA dehydrogenase family member 10,Q6JQN1,Metabolism > Lipid metabolism > Fatty acid oxidation,20.1818,1.0,chr12,True,,NUC
96573,23078,VWA8,219189.0,von Willebrand factor A domain containing 8,A3KMH1,0,20.1591,2.0,chr13,True,Mitochondrion,NUC
96574,60492,CCDC90B,66365.0,coiled-coil domain containing 90B,Q9GZT6,0,20.1315,1.0,chr11,True,Mitochondrion membrane,NUC
96575,55735,DNAJC11,230935.0,DnaJ heat shock protein family (Hsp40) member C11,Q9NVH1,"Protein import, sorting and homeostasis > Protein import and sorting | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions",20.0999,,chr1,True,Mitochondrion,NUC
96576,84266,ALKBH7,66400.0,alkB homolog 7,Q9BT30,0,20.0806,2.0,chr19,True,Mitochondrion matrix,NUC
96577,2731,GLDC,104174.0,glycine decarboxylase,P23378,Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system,20.0566,3.0,chr9,True,Mitochondrion,NUC
96578,347411,MPC1L,245347.0,mitochondrial pyruvate carrier 1 like,P0DKB6,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport,20.0388,3.0,chrX,True,Mitochondrion inner membrane,MIM
96579,117145,THEM4,75778.0,thioesterase superfamily member 4,Q5T1C6,Metabolism > Lipid metabolism,19.9875,1.0,chr1,True,Cell membrane,NUC
96580,6742,SSBP1,381760.0,single stranded DNA binding protein 1,Q04837,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid,19.9351,2.0,chr7,True,Mitochondrion,NUC
96581,51264,MRPL27,94064.0,mitochondrial ribosomal protein L27,Q9P0M9,Mitochondrial central dogma > Translation > Mitochondrial ribosome,19.9351,2.0,chr17,True,Mitochondrion,NUC
96582,150274,HSCB,100900.0,HscB mitochondrial iron-sulfur cluster cochaperone,Q8IWL3,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis,19.9351,2.0,chr22,True,Cytoplasm,NUC
96583,55173,MRPS10,64657.0,mitochondrial ribosomal protein S10,P82664,Mitochondrial central dogma > Translation > Mitochondrial ribosome,19.918,3.0,chr6,True,Mitochondrion,NUC
96584,205,AK4,11639.0,adenylate kinase 4,P27144,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing,19.9135,4.0,chr1,True,Mitochondrion matrix,NUC
96585,55210,ATAD3A,108888.0,ATPase family AAA domain containing 3A,Q9NVI7,Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial dynamics and surveillance > Organelle contact sites | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions,19.9009,,chr1,True,Mitochondrion inner membrane,MIM
96586,51253,MRPL37,56280.0,mitochondrial ribosomal protein L37,Q9BZE1,Mitochondrial central dogma > Translation > Mitochondrial ribosome,19.8663,3.0,chr1,True,Mitochondrion,NUC
96587,80142,PTGES2,96979.0,prostaglandin E synthase 2,Q9H7Z7,Metabolism > Lipid metabolism > Eicosanoid metabolism,19.8663,3.0,chr9,True,Golgi apparatus membrane,NUC
96588,10587,TXNRD2,26462.0,thioredoxin reductase 2,Q9NNW7,Metabolism > Detoxification > ROS and glutathione metabolism | Metabolism > Detoxification > Selenoproteins,19.853,1.0,chr22,True,Mitochondrion,NUC
96589,54988,ACSM5,272428.0,acyl-CoA synthetase medium chain family member 5,Q6NUN0,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Detoxification > Xenobiotic metabolism,19.853,1.0,chr16,True,Mitochondrion matrix,NUC
96590,55847,CISD1,52637.0,CDGSH iron sulfur domain 1,Q9NZ45,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,19.8223,,chr10,True,Mitochondrion outer membrane,NUC
96591,64975,MRPL41,107733.0,mitochondrial ribosomal protein L41,Q8IXM3,Mitochondrial central dogma > Translation > Mitochondrial ribosome,19.7869,4.0,chr9,True,Mitochondrion,NUC
96592,54996,MTARC2,67247.0,mitochondrial amidoxime reducing component 2,Q969Z3,Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins | Metabolism > Detoxification > Xenobiotic metabolism | Metabolism > Detoxification > Amidoxime reducing complex,19.7768,3.0,chr1,True,Mitochondrion outer membrane,NUC
96593,64968,MRPS6,121022.0,mitochondrial ribosomal protein S6,P82932,Mitochondrial central dogma > Translation > Mitochondrial ribosome,19.7396,,chr21,True,Mitochondrion,NUC
96594,6150,MRPL23,19935.0,mitochondrial ribosomal protein L23,Q16540,Mitochondrial central dogma > Translation > Mitochondrial ribosome,19.7219,2.0,chr11,True,Mitochondrion,NUC
96595,58472,SQOR,59010.0,sulfide quinone oxidoreductase,Q9Y6N5,"Metabolism > Electron carriers > Q-linked reactions, other | Metabolism > Sulfur metabolism",19.7219,2.0,chr15,True,Mitochondrion,NUC
96596,6341,SCO1,52892.0,synthesis of cytochrome C oxidase 1,O75880,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors,19.7152,2.0,chr17,True,Mitochondrion inner membrane,MIM
96597,23464,GCAT,26912.0,glycine C-acetyltransferase,O75600,Metabolism > Amino acid metabolism > Glycine metabolism,19.7152,2.0,chr22,True,Mitochondrion,NUC
96598,25902,MTHFD1L,270685.0,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like,Q6UB35,Metabolism > Vitamin metabolism > Folate and 1-C metabolism,19.7152,2.0,chr6,True,Mitochondrion,NUC
96599,10455,ECI2,23986.0,enoyl-CoA delta isomerase 2,O75521,Metabolism > Lipid metabolism > Fatty acid oxidation,19.6922,1.0,chr6,True,Mitochondrion,NUC
96600,7381,UQCRB,67530.0,ubiquinol-cytochrome c reductase binding protein,P14927,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,19.6799,,chr8,True,Mitochondrion inner membrane,MIM
96601,10476,ATP5PD,71679.0,ATP synthase peripheral stalk subunit d,O75947,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,19.6799,,chr17,True,Mitochondrion,NUC
96602,10632,ATP5MG,27425.0,ATP synthase membrane subunit g,O75964,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits | Mitochondrial dynamics and surveillance > Cristae formation,19.6799,,chr11,True,Mitochondrion,NUC
96603,131076,CCDC58,381045.0,coiled-coil domain containing 58,Q4VC31,0,19.6799,,chr3,True,,NUC
96604,64087,MCCC2,78038.0,methylcrotonoyl-CoA carboxylase 2,Q9HCC0,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,19.6753,2.0,chr5,True,Mitochondrion matrix,NUC
96605,84693,MCEE,73724.0,methylmalonyl-CoA epimerase,Q96PE7,Metabolism > Carbohydrate metabolism > Propanoate metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation,19.672,2.0,chr2,True,Mitochondrion,NUC
96606,4337,MOCS1,56738.0,molybdenum cofactor synthesis 1,Q9NZB8,Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins,19.6691,1.0,chr6,True,Mitochondrion matrix,NUC
96607,4594,MMUT,17850.0,methylmalonyl-CoA mutase,P22033,Metabolism > Carbohydrate metabolism > Propanoate metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Vitamin metabolism > Vitamin B12 metabolism,19.6453,3.0,chr6,True,Mitochondrion matrix,NUC
96608,92014,SLC25A51,230125.0,solute carrier family 25 member 51,Q9H1U9,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism | Small molecule transport > SLC25A family,19.5547,,chr9,True,Mitochondrion inner membrane,MIM
96609,6687,SPG7,234847.0,"SPG7 matrix AAA peptidase subunit, paraplegin",Q9UQ90,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",19.5533,3.0,chr16,True,Mitochondrion inner membrane,MIM
96610,518,ATP5MC3,228033.0,ATP synthase membrane subunit c locus 3,P48201,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,19.5524,2.0,chr2,True,Mitochondrion membrane,NUC
96611,84896,ATAD1,67979.0,ATPase family AAA domain containing 1,Q8NBU5,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",19.4339,,chr10,True,Mitochondrion outer membrane,NUC
96612,92106,OXNAD1,218885.0,oxidoreductase NAD binding domain containing 1,Q96HP4,0,19.3897,4.0,chr3,True,,NUC
96613,26164,MTG2,52856.0,mitochondrial ribosome associated GTPase 2,Q9H4K7,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly,19.3602,1.0,chr20,True,Mitochondrion,NUC
96614,55157,DARS2,226539.0,"aspartyl-tRNA synthetase 2, mitochondrial",Q6PI48,Mitochondrial central dogma > Translation > mt-tRNA synthetases,19.3589,2.0,chr1,True,Mitochondrion matrix,NUC
96615,51258,MRPL51,66493.0,mitochondrial ribosomal protein L51,Q4U2R6,Mitochondrial central dogma > Translation > Mitochondrial ribosome,19.3408,2.0,chr12,True,Mitochondrion,NUC
96616,5091,PC,18563.0,pyruvate carboxylase,P11498,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > TCA-associated | Metabolism > Vitamin metabolism > Biotin utilizing proteins,19.3217,2.0,chr11,True,Mitochondrion matrix,NUC
96617,171425,CLYBL,69634.0,citramalyl-CoA lyase,Q8N0X4,Metabolism > Carbohydrate metabolism > Itaconate metabolism,19.28,1.0,chr13,True,Mitochondrion,NUC
